date,total,O,A,B,AB
2017-01-30,20699,3840,6909,7085,2865
2017-01-31,21095,4142,7020,7091,2842
2017-02-01,20955,4070,6947,7028,2910
2017-02-02,20682,4034,6743,7013,2892
2017-02-03,20072,3798,6527,6985,2762
2017-02-04,21706,4156,7046,7603,2901
2017-02-05,21381,4027,6970,7494,2890
2017-02-06,21282,4026,6868,7454,2934
2017-02-07,20210,3686,6473,7165,2886
2017-02-08,19774,3747,6236,6996,2795
2017-02-09,19860,3678,6321,7049,2812
2017-02-10,19714,3720,6261,6898,2835
2017-02-11,21568,4168,6944,7372,3084
2017-02-12,21330,4053,6852,7282,3143
2017-02-13,21760,4125,7086,7434,3115
2017-02-14,21217,4141,6816,7129,3131
2017-02-15,21031,4122,6701,7051,3157
2017-02-16,20256,3908,6356,6942,3050
2017-02-17,20320,3823,6350,7193,2954
2017-02-18,22246,4559,6914,7675,3098
2017-02-19,22098,4462,6959,7697,2980
2017-02-20,22112,4493,6918,7630,3071
2017-02-21,20870,4029,6574,7302,2965
2017-02-22,19722,3942,6031,6939,2810
2017-02-23,20128,3978,6216,6974,2960
2017-02-24,20446,3956,6518,6965,3007
2017-02-25,22913,4625,7421,7556,3311
2017-02-26,22720,4509,7299,7577,3335
2017-02-27,23119,4504,7428,7782,3405
2017-02-28,23368,4525,7512,7785,3546
2017-03-01,23027,4396,7298,7771,3562
2017-03-02,23180,4649,7167,7727,3637
2017-03-03,22587,4430,6991,7611,3555
2017-03-04,24351,4900,7522,8117,3812
2017-03-05,24702,5033,7660,8187,3822
2017-03-06,23843,4833,7524,7752,3734
2017-03-07,22516,4406,7077,7488,3545
2017-03-08,22032,4306,6818,7457,3451
2017-03-09,21152,4240,6435,7135,3342
2017-03-10,21957,4346,6768,7335,3508
2017-03-11,23731,4771,7439,7845,3676
2017-03-12,23772,4829,7328,7836,3779
2017-03-13,24332,4886,7640,8064,3742
2017-03-14,23393,4566,7327,7867,3633
2017-03-15,23256,4548,7335,7746,3627
2017-03-16,23058,4421,7215,7770,3652
2017-03-17,23505,4512,7294,7893,3806
2017-03-18,24944,4798,7786,8365,3995
2017-03-19,25842,5031,8108,8653,4050
2017-03-20,26102,5063,8214,8701,4124
2017-03-21,25209,4777,7900,8527,4005
2017-03-22,24685,4722,7654,8470,3839
2017-03-23,24975,4876,7753,8466,3880
2017-03-24,25975,5047,8256,8671,4001
2017-03-25,28376,5589,9286,9282,4219
2017-03-26,29519,5883,9684,9608,4344
2017-03-27,31253,6282,10278,10199,4494
2017-03-28,30578,6029,9977,10106,4466
2017-03-29,30800,6105,10059,10182,4454
2017-03-30,30044,5962,9718,10000,4364
2017-03-31,31076,6063,10117,10343,4553
2017-04-01,32063,6271,10413,10729,4650
2017-04-02,31735,6153,10263,10726,4593
2017-04-03,30687,5860,9874,10409,4544
2017-04-04,28862,5272,9179,10031,4380
2017-04-05,27629,5089,8640,9702,4198
2017-04-06,25532,4483,7892,9270,3887
2017-04-07,24920,4407,7717,8980,3816
2017-04-08,25560,4517,7960,9246,3837
2017-04-09,25714,4508,8035,9350,3821
2017-04-10,23418,3956,7127,8763,3572
2017-04-11,21763,3469,6428,8437,3429
2017-04-12,20682,3344,6033,8046,3259
2017-04-13,20327,3306,5880,7948,3193
2017-04-14,20703,3289,6005,8139,3270
2017-04-15,21682,3481,6494,8331,3376
2017-04-16,21656,3381,6578,8388,3309
2017-04-17,20936,3262,6234,8180,3260
2017-04-18,18919,2885,5539,7577,2918
2017-04-19,18239,2726,5150,7450,2913
2017-04-20,17374,2491,4857,7232,2794
2017-04-21,18299,2989,5097,7349,2864
2017-04-22,19659,3272,5629,7795,2963
2017-04-23,18994,2950,5443,7672,2929
2017-04-24,19969,3263,5883,7849,2974
2017-04-25,18566,2903,5437,7536,2690
2017-04-26,18584,2914,5444,7525,2701
2017-04-27,19070,3079,5542,7795,2654
2017-04-28,20199,3440,5970,8019,2770
2017-04-29,22030,3914,6601,8505,3010
2017-04-30,22852,4111,6833,8851,3057
2017-05-01,22403,3900,6719,8816,2968
2017-05-02,23827,4324,7163,9216,3124
2017-05-03,22653,3881,6864,8895,3013
2017-05-04,25482,4597,7778,9646,3461
2017-05-05,23656,3993,7147,9196,3320
2017-05-06,25950,4612,7994,9799,3545
2017-05-07,25966,4596,8062,9750,3558
2017-05-08,27157,5054,8327,10098,3678
2017-05-09,25403,4603,7660,9712,3428
2017-05-10,26267,4917,7823,10035,3492
2017-05-11,26770,5123,7966,10068,3613
2017-05-12,28105,5319,8530,10465,3791
2017-05-13,30247,5926,9296,11033,3992
2017-05-14,30700,6024,9542,11095,4039
2017-05-15,31191,6253,9458,11370,4110
2017-05-16,31008,6040,9416,11385,4167
2017-05-17,30895,6032,9232,11490,4141
2017-05-18,31266,6302,9199,11581,4184
2017-05-19,33170,6752,9987,12025,4406
2017-05-20,35180,7356,10689,12531,4604
2017-05-21,35261,7386,10725,12533,4617
2017-05-22,36588,7661,11271,12784,4872
2017-05-23,36494,7528,11209,12867,4890
2017-05-24,37183,7699,11412,12996,5076
2017-05-25,38549,8018,11820,13506,5205
2017-05-26,40131,8492,12316,13938,5385
2017-05-27,42989,9320,13354,14645,5670
2017-05-28,44371,9819,13837,14984,5731
2017-05-29,44390,9729,13956,14982,5723
2017-05-30,44282,9704,13961,14878,5739
2017-05-31,45343,9891,14391,15305,5756
2017-06-01,45328,9866,14353,15292,5817
2017-06-02,45751,10101,14534,15348,5768
2017-06-03,47019,10488,15091,15584,5856
2017-06-04,46899,10570,15015,15570,5744
2017-06-05,47943,10776,15434,15858,5875
2017-06-06,46313,10358,14854,15399,5702
2017-06-07,45562,10023,14523,15314,5702
2017-06-08,44519,9821,14122,14993,5583
2017-06-09,44867,9801,14269,15158,5639
2017-06-10,46114,10156,14683,15532,5743
2017-06-11,45985,10116,14672,15507,5690
2017-06-12,44920,9773,14226,15209,5712
2017-06-13,44137,9459,13932,15002,5744
2017-06-14,43579,9197,13834,14834,5714
2017-06-15,42669,8985,13530,14535,5619
2017-06-16,41843,8691,13225,14352,5575
2017-06-17,42561,8874,13504,14463,5720
2017-06-18,42055,8609,13422,14350,5674
2017-06-19,41326,8341,13116,14204,5665
2017-06-20,40256,8061,12538,14111,5546
2017-06-21,38905,7573,12021,13833,5478
2017-06-22,37675,7322,11586,13497,5270
2017-06-23,37092,7054,11470,13356,5212
2017-06-24,38150,7154,12011,13638,5347
2017-06-25,38094,7115,12008,13579,5392
2017-06-26,35941,6171,11429,13237,5104
2017-06-27,34225,5737,10848,12716,4924
2017-06-28,32196,5382,9987,12169,4658
2017-06-29,30276,4778,9278,11763,4457
2017-06-30,29164,4650,8824,11292,4398
2017-07-01,30204,5010,9236,11485,4473
2017-07-02,29877,5067,9076,11392,4342
2017-07-03,27791,4508,8414,10692,4177
2017-07-04,25517,4038,7362,10142,3975
2017-07-05,23734,3635,6627,9749,3723
2017-07-06,23249,3907,6289,9438,3615
2017-07-07,24302,4557,6299,9649,3797
2017-07-08,26417,5364,7038,10113,3902
2017-07-09,26661,5461,7147,10195,3858
2017-07-10,26348,5466,7049,10041,3792
2017-07-11,26656,5662,7078,10047,3869
2017-07-12,26632,5693,7095,9928,3916
2017-07-13,27941,6095,7598,10173,4075
2017-07-14,28163,6103,7701,10351,4008
2017-07-15,30562,6922,8471,11022,4147
2017-07-16,30755,6982,8504,11115,4154
2017-07-17,31742,7160,8987,11371,4224
2017-07-18,32368,7339,9080,11633,4316
2017-07-19,33151,7720,9280,11696,4455
2017-07-20,34533,7978,9823,12052,4680
2017-07-21,35372,8135,10027,12322,4888
2017-07-22,37510,8781,10855,12823,5051
2017-07-23,37514,8780,10953,12752,5029
2017-07-24,38127,8976,11199,12933,5019
2017-07-25,37938,8860,11135,12872,5071
2017-07-26,38165,8927,11139,12913,5186
2017-07-27,38450,8932,11287,13002,5229
2017-07-28,38650,9041,11220,13101,5288
2017-07-29,40743,9616,11955,13654,5518
2017-07-30,40787,9674,12000,13614,5499
2017-07-31,41756,9994,12298,13811,5653
2017-08-01,42035,10104,12426,13762,5743
2017-08-02,42186,10092,12464,13745,5885
2017-08-03,41960,10074,12400,13654,5832
2017-08-04,42740,10240,12700,13817,5983
2017-08-05,44398,10757,13201,14234,6206
2017-08-06,44003,10683,13057,14150,6113
2017-08-07,43868,10607,12897,14160,6204
2017-08-08,43233,10495,12545,14055,6138
2017-08-09,43695,10548,12774,14246,6127
2017-08-10,43121,10441,12501,14140,6039
2017-08-11,43025,10402,12473,14127,6023
2017-08-12,45178,10954,13268,14663,6293
2017-08-13,45867,11171,13581,14746,6369
2017-08-14,46278,11144,13731,14974,6429
2017-08-15,46127,11026,13728,14951,6422
2017-08-16,45065,10675,13360,14640,6390
2017-08-17,44257,10364,13285,14411,6197
2017-08-18,43175,10033,12933,14129,6080
2017-08-19,44696,10504,13448,14525,6219
2017-08-20,44129,10262,13442,14352,6073
2017-08-21,43166,10014,12929,14307,5916
2017-08-22,41815,9747,12274,14064,5730
2017-08-23,40213,9327,11563,13717,5606
2017-08-24,39280,9008,11196,13515,5561
2017-08-25,38479,8814,10795,13420,5450
2017-08-26,40248,9116,11521,13944,5667
2017-08-27,41089,9340,11877,14150,5722
2017-08-28,40042,8919,11435,14007,5681
2017-08-29,39118,8929,10934,13783,5472
2017-08-30,37960,8599,10452,13490,5419
2017-08-31,37511,8476,10238,13371,5426
2017-09-01,36708,8277,10006,13095,5330
2017-09-02,38603,8835,10752,13521,5495
2017-09-03,38335,8769,10692,13426,5448
2017-09-04,37014,8333,10233,13143,5305
2017-09-05,35237,7791,9606,12738,5102
2017-09-06,33628,7353,8884,12495,4896
2017-09-07,32216,6942,8279,12185,4810
2017-09-08,31658,6746,8051,12138,4723
2017-09-09,32340,7053,8211,12324,4752
2017-09-10,32155,7097,8082,12267,4709
2017-09-11,30110,6517,7411,11758,4424
2017-09-12,28668,6117,6817,11362,4372
2017-09-13,27450,5881,6288,11008,4273
2017-09-14,26133,5537,5809,10710,4077
2017-09-15,26679,5758,6150,10645,4126
2017-09-16,27842,6223,6545,10854,4220
2017-09-17,28378,6444,6787,10883,4264
2017-09-18,27080,5987,6423,10469,4201
2017-09-19,25318,5346,5691,10225,4056
2017-09-20,24371,5090,5325,9985,3971
2017-09-21,23858,4815,5243,9831,3969
2017-09-22,23644,4868,5436,9543,3797
2017-09-23,24429,5132,5719,9712,3866
